threads,time,include_certificates,successful_requests,failed_requests
1,8,true,2143,0
1,8,true,2340,0
1,8,true,2253,0
1,8,true,2235,0
1,8,true,2194,0
1,8,true,1924,0
1,8,true,2081,0
1,8,true,1905,0
1,8,true,1950,0
1,8,true,1885,0
1,8,true,1903,0
1,8,true,1871,0
1,8,true,2051,0
1,8,true,2000,0
1,8,true,2069,0
1,8,true,2089,0
1,8,true,2017,0
1,8,true,1938,0
2,8,true,4556,0
2,8,true,4377,0
2,8,true,4374,0
2,8,true,4381,0
2,8,true,4714,0
2,8,true,4844,0
2,8,true,4653,0
2,8,true,4674,0
2,8,true,4842,0
2,8,true,4780,0
2,8,true,5053,0
2,8,true,5474,0
2,8,true,5469,0
2,8,true,5093,0
2,8,true,4997,0
2,8,true,5483,0
2,8,true,5251,0
2,8,true,5634,0
2,8,true,5158,0
2,8,true,5106,0
2,8,true,5096,0
2,8,true,4938,0
2,8,true,4870,0
2,8,true,4978,0
2,8,true,5029,0
2,8,true,4851,0
2,8,true,4944,0
2,8,true,4716,0
2,8,true,5093,0
2,8,true,4322,0
4,8,true,10455,0
4,8,true,10272,0
4,8,true,9452,0
4,8,true,9387,0
4,8,true,9356,0
4,8,true,9936,0
4,8,true,11124,0
4,8,true,10186,0
4,8,true,10507,0
4,8,true,10094,0
4,8,true,10538,0
4,8,true,10155,0
4,8,true,9255,0
4,8,true,10103,0
4,8,true,11523,0
4,8,true,12312,0
4,8,true,11959,0
4,8,true,12292,0
4,8,true,12561,0
4,8,true,11114,0
4,8,true,10979,0
4,8,true,12812,0
4,8,true,12384,0
4,8,true,11117,0
4,8,true,10404,0
4,8,true,9946,0
4,8,true,10172,0
4,8,true,10186,0
4,8,true,7406,0
4,8,true,9841,0
8,8,true,22080,0
8,8,true,21777,0
8,8,true,20084,0
8,8,true,20459,0
8,8,true,22094,0
8,8,true,25289,0
8,8,true,24175,0
8,8,true,23339,0
8,8,true,20601,0
8,8,true,20271,0
8,8,true,20056,0
8,8,true,19965,0
8,8,true,24894,0
8,8,true,24975,0
8,8,true,25364,0
8,8,true,25313,0
8,8,true,23903,0
8,8,true,23641,0
8,8,true,23019,0
8,8,true,17196,0
8,8,true,19069,0
8,8,true,21408,0
8,8,true,20936,0
8,8,true,15122,0
8,8,true,18909,0
8,8,true,24248,0
8,8,true,25259,0
8,8,true,24369,0
8,8,true,24407,0
8,8,true,23661,0
16,8,true,49247,0
16,8,true,49587,0
16,8,true,50277,0
16,8,true,49307,0
16,8,true,49251,0
16,8,true,49585,0
16,8,true,50055,0
16,8,true,49209,0
16,8,true,49881,0
16,8,true,49425,0
16,8,true,49862,0
16,8,true,49280,0
16,8,true,49200,0
16,8,true,49521,0
16,8,true,50425,0
16,8,true,48439,0
16,8,true,48925,0
16,8,true,48782,0
16,8,true,49245,0
16,8,true,46880,0
16,8,true,50809,0
16,8,true,48890,0
16,8,true,49339,0
16,8,true,50856,0
16,8,true,48529,0
16,8,true,50515,0
16,8,true,48290,0
16,8,true,50391,0
16,8,true,50156,0
16,8,true,48128,0
32,8,true,91938,0
32,8,true,94255,0
32,8,true,91986,0
32,8,true,91834,0
32,8,true,95456,0
32,8,true,91956,0
32,8,true,91594,0
32,8,true,95362,0
32,8,true,90321,0
32,8,true,94906,0
32,8,true,90999,0
32,8,true,96705,0
32,8,true,90156,0
32,8,true,95847,0
32,8,true,90685,0
32,8,true,95804,0
32,8,true,95425,0
32,8,true,89977,0
32,8,true,95749,0
32,8,true,88653,0
32,8,true,95555,0
32,8,true,95754,0
32,8,true,88439,0
32,8,true,95567,0
32,8,true,94499,0
32,8,true,88404,0
32,8,true,95522,0
32,8,true,95603,0
32,8,true,87613,0
32,8,true,95527,0
64,8,true,113275,0
64,8,true,103371,0
64,8,true,112941,0
64,8,true,112787,0
64,8,true,102900,0
64,8,true,112365,0
64,8,true,112457,0
64,8,true,103324,0
64,8,true,112198,0
64,8,true,112720,0
64,8,true,112668,0
64,8,true,101265,0
64,8,true,112422,0
64,8,true,112680,0
64,8,true,108346,0
64,8,true,112492,0
64,8,true,111960,0
64,8,true,112616,0
64,8,true,102794,0
64,8,true,113230,0
64,8,true,113437,0
64,8,true,113785,0
64,8,true,112554,0
64,8,true,97610,0
64,8,true,114445,0
64,8,true,114333,0
64,8,true,114015,0
64,8,true,106729,0
64,8,true,115124,0
64,8,true,114978,0
128,8,true,120442,0
128,8,true,120174,0
128,8,true,105089,0
128,8,true,119222,0
128,8,true,119565,0
128,8,true,119876,0
128,8,true,119404,0
128,8,true,113785,0
128,8,true,120363,0
128,8,true,120279,0
128,8,true,120087,0
128,8,true,119733,0
128,8,true,119128,0
128,8,true,103950,0
128,8,true,119948,0
128,8,true,120430,0
128,8,true,119898,0
128,8,true,119619,0
128,8,true,119609,0
128,8,true,120272,0
128,8,true,120383,0
128,8,true,117291,0
