threads,time,include_certificates,successful_requests,failed_requests
1,8,false,3988,0
1,8,false,2541,0
1,8,false,2538,0
1,8,false,2731,0
1,8,false,2735,0
1,8,false,2749,0
1,8,false,2790,0
1,8,false,2809,0
1,8,false,2757,0
1,8,false,2733,0
1,8,false,3141,0
1,8,false,2774,0
1,8,false,3085,0
1,8,false,3285,0
1,8,false,3089,0
1,8,false,2989,0
1,8,false,3085,0
1,8,false,2935,0
1,8,false,3058,0
1,8,false,3124,0
1,8,false,3113,0
1,8,false,3083,0
1,8,false,2722,0
1,8,false,2773,0
1,8,false,2776,0
1,8,false,2778,0
1,8,false,2774,0
1,8,false,2780,0
1,8,false,2778,0
1,8,false,2782,0
2,8,false,8718,0
2,8,false,6692,0
2,8,false,6087,0
2,8,false,5991,0
2,8,false,5996,0
2,8,false,6037,0
2,8,false,6031,0
2,8,false,5997,0
2,8,false,5973,0
2,8,false,5884,0
2,8,false,5994,0
2,8,false,6051,0
2,8,false,6415,0
2,8,false,6344,0
2,8,false,6716,0
2,8,false,6107,0
2,8,false,6152,0
2,8,false,6288,0
2,8,false,5998,0
2,8,false,5923,0
2,8,false,5897,0
2,8,false,5909,0
2,8,false,5906,0
2,8,false,6197,0
2,8,false,6125,0
2,8,false,5978,0
2,8,false,5860,0
2,8,false,5984,0
2,8,false,6122,0
2,8,false,5864,0
4,8,false,19934,0
4,8,false,12744,0
4,8,false,12912,0
4,8,false,12736,0
4,8,false,13195,0
4,8,false,12552,0
4,8,false,12498,0
4,8,false,12747,0
4,8,false,12641,0
4,8,false,12758,0
4,8,false,12825,0
4,8,false,13094,0
4,8,false,13395,0
4,8,false,11997,0
4,8,false,11801,0
4,8,false,13956,0
4,8,false,12998,0
4,8,false,13168,0
4,8,false,12888,0
4,8,false,13011,0
4,8,false,13155,0
4,8,false,13048,0
4,8,false,13247,0
4,8,false,12772,0
4,8,false,12036,0
4,8,false,11566,0
4,8,false,12916,0
4,8,false,12777,0
4,8,false,12954,0
4,8,false,12917,0
8,8,false,35229,0
8,8,false,28099,0
