num_threads,time_s,query_radius_m,executed_queries,result_count
128,8,10,189435,13836291
128,8,10,187132,13673941
128,8,10,189371,13843903
128,8,10,188353,13770810
128,8,10,188188,13757764
128,8,10,189556,13844876
128,8,10,188906,13806019
128,8,10,189217,13819837
128,8,10,189341,13830385
128,8,10,188763,13791822
128,8,10,188260,13756517
128,8,10,188161,13747969
128,8,10,189540,13848961
128,8,10,188863,13791852
128,8,10,188846,13799239
128,8,10,190023,13878061
128,8,10,188570,13778317
128,8,10,188906,13799679
128,8,10,187869,13732179
128,8,10,187363,13686071
128,8,10,189303,13830555
128,8,10,188651,13780431
