num_threads,time_s,query_radius_m,executed_queries,result_count
1,8,10,9045,756561
1,8,10,9165,768178
1,8,10,9115,763488
1,8,10,9094,760343
1,8,10,9138,765032
1,8,10,9146,765619
1,8,10,9186,770089
1,8,10,9162,766804
1,8,10,9126,764299
1,8,10,9107,762841
1,8,10,9100,760816
1,8,10,9106,762775
1,8,10,9098,760715
1,8,10,9120,763819
1,8,10,9078,759277
1,8,10,9124,764176
1,8,10,9087,759887
1,8,10,9024,755143
1,8,10,9126,764299
1,8,10,9084,759722
1,8,10,9107,762841
1,8,10,9164,766990
1,8,10,9073,758892
1,8,10,9105,762725
1,8,10,9078,759277
1,8,10,9102,762483
1,8,10,9126,764299
1,8,10,9162,766804
1,8,10,9123,764133
1,8,10,9162,766804
2,8,10,17618,1484789
2,8,10,17621,1484886
2,8,10,17691,1490346
2,8,10,17674,1488916
2,8,10,17650,1487239
2,8,10,17677,1489301
2,8,10,17990,1515053
2,8,10,17619,1485054
2,8,10,17701,1491720
2,8,10,17698,1491870
2,8,10,17608,1484490
2,8,10,17690,1491338
2,8,10,17570,1481790
2,8,10,17543,1479397
2,8,10,17686,1489650
2,8,10,17814,1501166
2,8,10,17745,1495367
2,8,10,17625,1485217
2,8,10,17688,1490907
2,8,10,17669,1488573
2,8,10,17652,1487302
2,8,10,17614,1484527
2,8,10,17680,1489450
2,8,10,17659,1487869
2,8,10,17527,1478429
2,8,10,17714,1492837
2,8,10,17625,1485402
2,8,10,17281,1459255
2,8,10,17637,1487051
2,8,10,17694,1491586
4,8,10,34495,2908108
4,8,10,34559,2913325
4,8,10,34622,2918339
4,8,10,34448,2905105
4,8,10,33360,2813177
4,8,10,34492,2908638
4,8,10,34523,2910490
4,8,10,34535,2912099
4,8,10,34697,2925114
4,8,10,34677,2922672
4,8,10,34653,2920689
4,8,10,34649,2920698
4,8,10,34601,2916129
4,8,10,34735,2926925
4,8,10,34561,2913016
4,8,10,34463,2904851
4,8,10,34560,2913161
4,8,10,34442,2904334
4,8,10,34475,2907325
4,8,10,34599,2916640
4,8,10,34540,2912173
4,8,10,34565,2914021
4,8,10,33689,2839633
4,8,10,34550,2912397
4,8,10,34510,2907993
4,8,10,34676,2922466
4,8,10,34669,2921467
4,8,10,34464,2905542
4,8,10,34635,2919520
4,8,10,34356,2898310
8,8,10,68193,5705366
8,8,10,67699,5659289
8,8,10,67960,5686429
8,8,10,68261,5705928
8,8,10,68355,5716417
8,8,10,68785,5755564
8,8,10,67414,5637649
8,8,10,68317,5714131
8,8,10,64218,5374106
8,8,10,68162,5700527
8,8,10,67907,5677199
8,8,10,66748,5584070
8,8,10,65725,5497156
8,8,10,68681,5743178
8,8,10,67234,5620564
8,8,10,68174,5700452
8,8,10,67432,5632273
8,8,10,68377,5715442
8,8,10,68277,5710141
8,8,10,68338,5719601
8,8,10,68752,5749563
8,8,10,67076,5613103
8,8,10,67873,5676526
8,8,10,68193,5703783
8,8,10,66388,5551491
8,8,10,68281,5708108
8,8,10,68696,5744014
8,8,10,68160,5700420
8,8,10,68517,5729415
8,8,10,67250,5620628
16,8,10,126856,10592059
16,8,10,119869,10017816
16,8,10,122385,10219307
16,8,10,127933,10681593
16,8,10,119912,10010850
16,8,10,128224,10705768
16,8,10,127328,10632227
16,8,10,128525,10735136
