num_threads,time_s,query_radius_m,executed_queries,result_count
1,8,10,7103,528463
1,8,10,7172,533937
1,8,10,7190,535313
1,8,10,7243,538865
1,8,10,7269,541209
1,8,10,7322,544497
1,8,10,7193,535500
1,8,10,7212,536773
1,8,10,7274,541611
1,8,10,7245,539052
1,8,10,7215,536939
1,8,10,7261,540646
1,8,10,7284,542185
1,8,10,7259,540298
1,8,10,7271,541461
1,8,10,7254,539872
1,8,10,7201,536021
1,8,10,7199,535918
1,8,10,7303,543447
1,8,10,7244,538994
1,8,10,7222,537416
1,8,10,7307,543656
1,8,10,7313,543980
1,8,10,7192,535442
1,8,10,7227,537722
1,8,10,7261,540646
1,8,10,7304,543525
1,8,10,7261,540646
1,8,10,7189,535213
1,8,10,7196,535692
2,8,10,14172,1040851
2,8,10,14146,1038928
2,8,10,14143,1038333
2,8,10,14210,1043966
2,8,10,14238,1046241
2,8,10,14156,1039658
2,8,10,14110,1035831
2,8,10,14118,1036678
2,8,10,14167,1040567
2,8,10,14187,1041988
2,8,10,14166,1041053
2,8,10,14178,1041561
2,8,10,14125,1037226
2,8,10,14126,1037481
2,8,10,14228,1045637
2,8,10,14182,1042019
2,8,10,14103,1035811
2,8,10,14218,1044578
2,8,10,14230,1045614
2,8,10,14185,1041681
2,8,10,14097,1034593
2,8,10,14234,1045879
2,8,10,14134,1038113
2,8,10,13798,1014535
2,8,10,14305,1051103
2,8,10,14169,1041215
2,8,10,14197,1043137
2,8,10,14147,1038906
2,8,10,14220,1045079
2,8,10,14175,1041247
4,8,10,28032,2043783
4,8,10,27827,2030431
4,8,10,28062,2047372
4,8,10,28115,2051183
4,8,10,28288,2065238
4,8,10,28172,2053892
4,8,10,27873,2032234
4,8,10,28119,2050693
4,8,10,28144,2052416
4,8,10,28230,2058895
4,8,10,28568,2082607
4,8,10,28072,2046768
4,8,10,28171,2054704
4,8,10,28159,2053590
4,8,10,28743,2097731
4,8,10,28230,2058391
4,8,10,28098,2048826
4,8,10,27766,2025262
4,8,10,28189,2057342
4,8,10,28095,2050202
4,8,10,28023,2043864
4,8,10,28261,2061939
4,8,10,28240,2060627
4,8,10,28210,2057193
4,8,10,28085,2048641
4,8,10,28211,2058046
4,8,10,28274,2062367
4,8,10,28130,2052205
4,8,10,28132,2052990
4,8,10,28233,2059127
8,8,10,53637,3936447
8,8,10,54467,3994187
8,8,10,54835,4021615
8,8,10,55363,4059932
8,8,10,53834,3950824
8,8,10,54122,3970678
8,8,10,54843,4022762
8,8,10,55384,4064338
8,8,10,54488,3993988
8,8,10,54427,3992817
8,8,10,54386,3985469
8,8,10,53136,3902035
8,8,10,55049,4037339
8,8,10,54620,4005894
8,8,10,55513,4071229
8,8,10,53005,3888984
8,8,10,55472,4068705
8,8,10,54244,3978120
8,8,10,54307,3983684
8,8,10,55157,4043705
8,8,10,55668,4084586
8,8,10,55162,4045233
8,8,10,54963,4030308
8,8,10,54880,4023083
8,8,10,54113,3970832
8,8,10,54449,3991541
8,8,10,54359,3988919
8,8,10,54065,3965654
8,8,10,54319,3984751
8,8,10,54054,3965914
16,8,10,101586,7450074
16,8,10,102025,7475828
16,8,10,98866,7250559
16,8,10,99481,7294403
16,8,10,102655,7527432
16,8,10,102306,7497055
16,8,10,100105,7337061
16,8,10,102016,7480347
16,8,10,98933,7254123
16,8,10,97738,7165014
16,8,10,104576,7673348
16,8,10,100685,7379561
16,8,10,100473,7368758
16,8,10,99501,7296868
16,8,10,102184,7494943
16,8,10,99333,7280794
16,8,10,104326,7653086
16,8,10,102633,7523468
16,8,10,98015,7182624
16,8,10,98832,7244653
16,8,10,100598,7374925
16,8,10,99365,7285151
16,8,10,104524,7662698
16,8,10,102708,7529018
16,8,10,103306,7581284
16,8,10,100557,7375953
16,8,10,102729,7533695
16,8,10,104186,7641787
16,8,10,102995,7553525
16,8,10,99110,7268698
32,8,10,166336,12188017
32,8,10,169464,12417160
32,8,10,164761,12078540
32,8,10,166997,12230070
32,8,10,165983,12153375
32,8,10,167410,12262068
32,8,10,166280,12182700
32,8,10,165555,12135058
32,8,10,164269,12035481
32,8,10,168722,12364855
32,8,10,164247,12037868
